x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,9.543730304105745,3,2,5,1.9254233230548372,2.1285681241642345,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
2,9.541020908141066,3,2,5,1.9254809943936988,2.1285681241642345,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
3,9.538311512176383,3,2,5,1.9255386657325604,2.1285681241642345,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
5,9.532892720247013,3,2,5,1.9256540084102838,2.1285681241642345,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
9,9.525992570719472,3,2,5,1.9258846937657301,2.128660759579051,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
17,9.51132549410579,3,2,5,1.9263460644766235,2.128825596126006,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
33,9.482008684031875,3,2,5,1.92726880589841,2.129155516908188,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
65,9.42354451620266,3,2,5,1.9291142887419823,2.129818702264265,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
129,9.307075386777543,3,2,5,1.9328052544291268,2.131153298531224,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
257,9.07451231697282,3,2,5,1.940187185803416,2.133821038790629,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
513,8.611129622775318,3,2,5,1.9549510485519954,2.139156595855238,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
1025,7.691274907472696,3,2,5,1.9844787740491536,2.1498279518647623,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
2049,5.878715024729414,3,2,5,2.0435342250434685,2.171171192127675,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
2524,5.049971019174298,3,2,5,2.070928111002746,2.1810715944288455,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
2525,5.048232793968007,3,2,5,2.070985782341608,2.181092404365534,"[2, 3]",1.9252147746086121,0.00011534267772327421,5.938144329896907e-08,0.00020854844622509385,0.00011534267772327421,1.1876288659793815e-07
